skill_name,skill_group
Tracking Studies,Market Research
Customer Journey Mapping,Market Research
Market Research Data Interpretation,Market Research
Online Market Research Techniques,Market Research
Data Analysis with SPSS or SAS,Market Research
Data Analysis with R or Python,Market Research
Data Mining,Market Research
Data Collection through Web Scraping,Market Research
Market Research Project Management,Market Research
Data Reporting and Visualization Tools,Market Research
Market Research Data Segmentation,Market Research
Market Needs Analysis,Market Research
Customer Profiling,Market Research
Customer Persona Development,Market Research
Sentiment Analysis,Market Research
Market Research Survey Software Proficiency,Market Research
Competitive Intelligence Gathering,Market Research
Market Research Ethics and Compliance,Market Research
Market Research for New Product Development,Market Research
Market Research for Pricing Strategies,Market Research
Market Research for Brand Positioning,Market Research
Market Research for Business Expansion,Market Research
Data Analysis for Market Forecasting,Market Research
Market Research for Market Entry Decisions,Market Research
Market Research for Customer Retention Strategies,Market Research
Market Research for Marketing Campaigns,Market Research
Market Research for Customer Segmentation,Market Research
Market Research for Advertising Strategy,Market Research
Market Research for Industry Analysis,Market Research
Market Research for Market Opportunity Identification,Market Research
Market Research for Competitor Analysis,Market Research
Market Research for Product Launch Strategy,Market Research
Market Research for Market Trend Identification,Market Research
Market Research for Customer Insights,Market Research
Market Research for Sales Forecasting,Market Research
Market Research for Product Improvement,Market Research
Market Research for Pricing Optimization,Market Research
Market Research for Consumer Perception Studies,Market Research
Market Research for Market Share Analysis,Market Research
Market Research for Consumer Preferences,Market Research
Market Research for Market Performance Assessment,Market Research
Market Research for Market Potential Assessment,Market Research
Market Research for Market Segmentation Analysis,Market Research
Market Research for Industry Benchmarking,Market Research
Market Research for Target Audience Identification,Market Research
Market Research for Market Competitiveness Analysis,Market Research
Market Research for Customer Feedback and Satisfaction,Market Research
Market Research for Product Portfolio Analysis,Market Research
Market Research for Market Positioning Analysis,Market Research
Market Research for Market Growth Potential,Market Research
Market Research for Market Entry Strategy Analysis,Market Research
Market Research for Market Share Trend Analysis,Market Research
Market Research for Market Demand Analysis,Market Research
Market Research for Market Profitability Analysis,Market Research
Market Research for Market Expansion Opportunities,Market Research
Market Research for Customer Behavior Analysis,Market Research
Market Research for Consumer Trend Identification,Market Research
Market Research for Market Gap Analysis,Market Research
Market Research for Market Segmentation Trends,Market Research
Market Research for Product Development Strategies,Market Research
Market Research for Market Entry Barriers,Market Research
Market Research for Market Entry Assessment,Market Research
Market Research for Market Potential Estimation,Market Research
Market Research for Market Growth Analysis,Market Research
Market Research for Customer Demographics Analysis,Market Research
Market Research for Market Competitor Analysis,Market Research
Market Research for Market Trend Forecasting,Market Research
Market Research for Market Customer Analysis,Market Research
Market Research for Market Profitability Assessment,Market Research
Market Research for Market Performance Analysis,Market Research
Market Research for Market Segmentation Strategy,Market Research
Market Research for Customer Satisfaction Analysis,Market Research
Adobe Photoshop,Graphic Design/Visual
Adobe Illustrator,Graphic Design/Visual
Adobe InDesign,Graphic Design/Visual
Graphic Design Principles,Graphic Design/Visual
Typography Design,Graphic Design/Visual
Layout Design,Graphic Design/Visual
Color Theory,Graphic Design/Visual
Image Editing and Retouching,Graphic Design/Visual
Logo Design,Graphic Design/Visual
Brand Identity Design,Graphic Design/Visual
Illustration,Graphic Design/Visual
Digital Illustration,Graphic Design/Visual
Print Design,Graphic Design/Visual
Web Design,Graphic Design/Visual
User Interface (UI) Design,Graphic Design/Visual
User Experience (UX) Design,Graphic Design/Visual
Visual Branding,Graphic Design/Visual
Poster Design,Graphic Design/Visual
Brochure Design,Graphic Design/Visual
Business Card Design,Graphic Design/Visual
Packaging Design,Graphic Design/Visual
Magazine Design,Graphic Design/Visual
Book Cover Design,Graphic Design/Visual
Infographic Design,Graphic Design/Visual
Icon Design,Graphic Design/Visual
Banner Design,Graphic Design/Visual
Social Media Graphics Design,Graphic Design/Visual
Motion Graphics Design,Graphic Design/Visual
Animation Design,Graphic Design/Visual
Storyboarding,Graphic Design/Visual
Responsive Design,Graphic Design/Visual
Visual Content Creation,Graphic Design/Visual
Interactive Design,Graphic Design/Visual
Vector Graphics Design,Graphic Design/Visual
Conceptualization and Ideation,Graphic Design/Visual
Layout Composition,Graphic Design/Visual
Collateral Design,Graphic Design/Visual
Digital Artwork Creation,Graphic Design/Visual
Visual Communication,Graphic Design/Visual
Illustrative Storytelling,Graphic Design/Visual
Digital Painting,Graphic Design/Visual
Character Design,Graphic Design/Visual
Environmental Graphics Design,Graphic Design/Visual
User-Centered Design,Graphic Design/Visual
Presentation Design,Graphic Design/Visual
Photo Manipulation,Graphic Design/Visual
Image Optimization for Web,Graphic Design/Visual
Visual Identity Design,Graphic Design/Visual
Visual Hierarchy Design,Graphic Design/Visual
Data Visualization Design,Graphic Design/Visual
User Persona Design,Graphic Design/Visual
Wireframing and Prototyping,Graphic Design/Visual
Responsive Web Design,Graphic Design/Visual
App Icon Design,Graphic Design/Visual
Vector Illustration,Graphic Design/Visual
Infographic Storytelling,Graphic Design/Visual
Motion Design,Graphic Design/Visual
3D Visualization,Graphic Design/Visual
Image Compositing,Graphic Design/Visual
Image Restoration,Graphic Design/Visual
Digital Asset Management,Graphic Design/Visual
Poster Layout and Composition,Graphic Design/Visual
Visual Design for Mobile Apps,Graphic Design/Visual
Web Banner Animation,Graphic Design/Visual
Illustrative Icons Design,Graphic Design/Visual
Interactive Infographics,Graphic Design/Visual
Visual Design for Emails,Graphic Design/Visual
Visual Design for E-commerce Websites,Graphic Design/Visual
Visual Design for Landing Pages,Graphic Design/Visual
Storyboarding for Animation,Graphic Design/Visual
Visual Design for Social Media Ads,Graphic Design/Visual
Product Packaging Illustration,Graphic Design/Visual
Vector Logo Design,Graphic Design/Visual
Color Grading,Graphic Design/Visual
Typography Pairing and Composition,Graphic Design/Visual
Magazine Layout Design,Graphic Design/Visual
Visual Design for Digital Publications,Graphic Design/Visual
Responsive Email Design,Graphic Design/Visual
Iconography Design,Graphic Design/Visual
Visual Design for E-learning Materials,Graphic Design/Visual
Visual Design for Presentations,Graphic Design/Visual
Concept Art Design,Graphic Design/Visual
3D Modeling and Rendering,Graphic Design/Visual
Visual Design for Digital Campaigns,Graphic Design/Visual
Visual Design for Webinars,Graphic Design/Visual
Visual Design for Video Thumbnails,Graphic Design/Visual
Character Illustration for Animation,Graphic Design/Visual
Visual Design for Outdoor Advertising,Graphic Design/Visual
Image Manipulation for Advertising,Graphic Design/Visual
Visual Design for Brand Campaigns,Graphic Design/Visual
Visual Design for Digital Signage,Graphic Design/Visual
Visual Design for Trade Show Booths,Graphic Design/Visual
Visual Design for Virtual Events,Graphic Design/Visual
Visual Design for Video Intros,Graphic Design/Visual
Visual Design for Web Forms,Graphic Design/Visual
Visual Design for User Guides,Graphic Design/Visual
Visual Design for Educational Materials,Graphic Design/Visual
Visual Design for Packaging Labels,Graphic Design/Visual
Visual Design for Motion Graphics,Graphic Design/Visual
Visual Design for Social Media Stories,Graphic Design/Visual
Strategic Planning,Strategy/Planning/Management
Business Strategy Development,Strategy/Planning/Management
Long-Term Planning,Strategy/Planning/Management
Project Management,Strategy/Planning/Management
Performance Management,Strategy/Planning/Management
Goal Setting and Objectives Alignment,Strategy/Planning/Management
Data Analysis and Interpretation,Strategy/Planning/Management
Financial Planning and Budgeting,Strategy/Planning/Management
Risk Management,Strategy/Planning/Management
Change Management,Strategy/Planning/Management
Decision Making,Strategy/Planning/Management
Problem Solving,Strategy/Planning/Management
Critical Thinking,Strategy/Planning/Management
Market Analysis and Research,Strategy/Planning/Management
Competitive Analysis,Strategy/Planning/Management
SWOT Analysis,Strategy/Planning/Management
Scenario Planning,Strategy/Planning/Management
Business Process Optimization,Strategy/Planning/Management
Performance Metrics Tracking,Strategy/Planning/Management
Key Performance Indicators (KPIs) Management,Strategy/Planning/Management
Resource Allocation and Management,Strategy/Planning/Management
Supply Chain Management,Strategy/Planning/Management
Vendor and Supplier Management,Strategy/Planning/Management
Time Management,Strategy/Planning/Management
Team Leadership and Management,Strategy/Planning/Management
Talent Acquisition and Recruitment,Strategy/Planning/Management
Employee Performance Evaluation,Strategy/Planning/Management
Succession Planning,Strategy/Planning/Management
Leadership Development,Strategy/Planning/Management
Conflict Resolution and Management,Strategy/Planning/Management
Negotiation Skills,Strategy/Planning/Management
Communication in Leadership,Strategy/Planning/Management
Stakeholder Management,Strategy/Planning/Management
Team Building and Motivation,Strategy/Planning/Management
Strategic Communication Planning,Strategy/Planning/Management
Data-Driven Decision Making,Strategy/Planning/Management
Lean Six Sigma,Strategy/Planning/Management
Goal Alignment and Cascading,Strategy/Planning/Management
Business Development Strategy,Strategy/Planning/Management
Performance Improvement Initiatives,Strategy/Planning/Management
Organizational Design and Structure,Strategy/Planning/Management
Crisis Management and Preparedness,Strategy/Planning/Management
Quality Management,Strategy/Planning/Management
Customer Relationship Management (CRM),Strategy/Planning/Management
Forecasting and Trend Analysis,Strategy/Planning/Management
Strategic Alignment with Organizational Values,Strategy/Planning/Management
Business Model Design and Evaluation,Strategy/Planning/Management
Talent Development and Training,Strategy/Planning/Management
Operational Efficiency Improvement,Strategy/Planning/Management
Strategic Partnerships and Alliances,Strategy/Planning/Management
Cross-Functional Collaboration,Strategy/Planning/Management
Business Process Reengineering,Strategy/Planning/Management
Strategy Execution and Implementation,Strategy/Planning/Management
Innovation Management,Strategy/Planning/Management
Employee Engagement Strategies,Strategy/Planning/Management
Strategic Sourcing and Procurement,Strategy/Planning/Management
Marketing Strategy Planning,Strategy/Planning/Management
Competitive Strategy Development,Strategy/Planning/Management
Product Portfolio Management,Strategy/Planning/Management
Business Performance Metrics Evaluation,Strategy/Planning/Management
Market Entry Strategies,Strategy/Planning/Management
Resource Planning and Utilization,Strategy/Planning/Management
Benchmarking and Best Practices,Strategy/Planning/Management
Business Continuity Planning,Strategy/Planning/Management
Strategic Vision and Mission Development,Strategy/Planning/Management
Strategic Decision Making under Uncertainty,Strategy/Planning/Management
Supply Chain Optimization,Strategy/Planning/Management
Strategic Alignment with Market Trends,Strategy/Planning/Management
Sales and Revenue Forecasting,Strategy/Planning/Management
Strategic Alignment with Customer Needs,Strategy/Planning/Management
Project Portfolio Management,Strategy/Planning/Management
Business Expansion Strategies,Strategy/Planning/Management
Strategic Account Management,Strategy/Planning/Management
Organizational Culture Development,Strategy/Planning/Management
Strategic Innovation and R&D Management,Strategy/Planning/Management
Strategic Negotiation and Partnership,Strategy/Planning/Management
Strategic Talent Management,Strategy/Planning/Management
Strategic Vendor Selection and Evaluation,Strategy/Planning/Management
Strategic Market Positioning,Strategy/Planning/Management
Business Analysis and Strategy Evaluation,Strategy/Planning/Management
Strategic Customer Segmentation,Strategy/Planning/Management
Strategic Pricing and Profitability Analysis,Strategy/Planning/Management
Strategic Brand Positioning,Strategy/Planning/Management
Strategic Resource Allocation,Strategy/Planning/Management
Strategic Product Development and Launch,Strategy/Planning/Management
Strategic IT and Technology Management,Strategy/Planning/Management
Strategic Crisis Response and Recovery,Strategy/Planning/Management
Strategic Marketing Campaign Planning,Strategy/Planning/Management
Strategic Customer Experience Management,Strategy/Planning/Management
Strategic Decision Making with Data Insights,Strategy/Planning/Management
Strategic Sales and Revenue Growth,Strategy/Planning/Management
Strategic Performance Dashboards,Strategy/Planning/Management
Strategic Asset Management,Strategy/Planning/Management
Strategic HR Planning and Management,Strategy/Planning/Management
Strategic Environmental Analysis,Strategy/Planning/Management
Strategic Compliance and Regulatory Management,Strategy/Planning/Management
Strategic Business Model Innovation,Strategy/Planning/Management
Strategic Planning for Non-Profit Organizations,Strategy/Planning/Management
Strategic Global Expansion,Strategy/Planning/Management
Strategic Alignment with Corporate Goals,Strategy/Planning/Management
Event Coordination,Other
Carpentry,Other
First Aid/CPR,Other
Floral Arrangement,Other
Mixology,Other
Barista Skills,Other
Pottery,Other
CrossFit Training,Other
Calligraphy,Other
Bicycle Repair,Other
Creative Writing,Other
Origami,Other
Salsa Dancing,Other
AutoCAD,Other
Puppetry,Other
Knitting and Crocheting,Other
Locksmithing,Other
Magic Tricks,Other
Wine Tasting,Other
Makeup Artistry,Other
Taxidermy,Other
Chess,Other
Stilt Walking,Other
Tarot Reading,Other
Mime Performance,Other
Soap Making,Other
Feng Shui,Other
Woodworking,Other
Belly Dancing,Other
Juggling,Other
Candle Making,Other
Tax Preparation,Other
Astrology,Other
Archery,Other
Glassblowing,Other
Hula Hooping,Other
Blacksmithing,Other
Meditation,Other
Parkour,Other
Beekeeping,Other
Hypnotherapy,Other
Caving,Other
Tea Tasting,Other
Fire Eating,Other
Bonsai Tree Care,Other
Psychic Reading,Other
Leatherworking,Other
Stand-up Comedy,Other
Laser Tag,Other
Paragliding,Other
Virtual Reality (VR) Development,Other
Escape Room Design,Other
Dog Training,Other
Beekeeping,Other
Ventriloquism,Other
Ice Skating,Other
Urban Gardening,Other
Beekeeping,Other
Sushi Making,Other
Martial Arts,Other
Canning and Preserving,Other
Rock Climbing,Other
Furniture Restoration,Other
Bungee Jumping,Other
Poetry Writing,Other
Astro-photography,Other
Paper Mache Art,Other
Stargazing,Other
Foraging,Other
Knife Throwing,Other
Pottery Wheel Throwing,Other
Glass Etching,Other
Ice Sculpting,Other
Baking and Pastry,Other
Psychic Mediumship,Other
Falconry,Other
Vexillology (Study of Flags),Other
Fireworks Display Design,Other
Floral Design,Other
DJ and Turntablism,Other
Segway Riding,Other
Psychic Tarot Reading,Other
Geocaching,Other
Cartography,Other
Bungee Jumping,Other
Yoyo Tricks,Other
Puppet Making,Other
Sublimation Printing,Other
Glass Art Fusion,Other
Embroidery,Other
Virtual Assistant Services,Other
Knife Making,Other
Glass Bead Making,Other
Bartending,Other
"Recreational Flying (Ultralight, Glider, etc.)",Other
Hydroponics Gardening,Other
Cigar Rolling,Other
Astrological Birth Chart Interpretation,Other
Axe Throwing,Other
Whittling,Other
Communication,Communication
Marketing,Strategy/Planning/Management
Marketing Budget Management,Strategy/Planning/Management
Pivot Tables,Quantitative/Analytics
Product Marketing,Content/Writing
Brand Awareness,Brand
Defining Requirements,Quantitative/Analytics
Events,Strategy/Planning/Management
Implementation Plans,Strategy/Planning/Management
Team Training,Communication
Teamwork,Communication
Campaigns,Strategy/Planning/Management
Event Marketing,Strategy/Planning/Management
Marketing Campaigns,Strategy/Planning/Management
Workable Solutions,Quantitative/Analytics
Community Outreach,Communication
Demos,Strategy/Planning/Management
Guest Services,Sales
Hosting Events,Strategy/Planning/Management
Presentation Skills,Communication
Retail Sales,Sales
Sales,Sales
Networking,Communication
Public Speaking,Communication
Relationship Building,Sales
Sales and Marketing,Sales
Social Media,Social Media/Digital
Sports,Other
Ad Serving,Social Media/Digital
Digital Channels,Graphic Design/Visual
Digital Engagement,Graphic Design/Visual
Digital Marketing,Graphic Design/Visual
Interpersonal Communication,Communication
Multi-Channel Marketing,Strategy/Planning/Management
Omni-Channel Marketing,Strategy/Planning/Management
Strategic Communications,Communication
Bulk SMS,Sales
Consumer Packaged Goods (CPG),Brand
Google Ads,Social Media/Digital
Mobile Marketing,Social Media/Digital
Paid Media Advertising,Social Media/Digital
Paid Media Strategy,Social Media/Digital
Paid Social Media Advertising,Social Media/Digital
Search Engine Marketing (SEM),Social Media/Digital
Search Engine Optimization (SEO),Technology
Tiktok Marketing,Social Media/Digital
A/B Testing,Quantitative/Analytics
Facebook Ads,Social Media/Digital
Facebook Ads Manager,Social Media/Digital
Key Performance Indicators,Strategy/Planning/Management
LinkedIn Advertising,Social Media/Digital
Optimization Techniques,Quantitative/Analytics
Remarketing,Strategy/Planning/Management
Administration,Strategy/Planning/Management
Organization Skills,Strategy/Planning/Management
Presentations,Communication
Sales Analysis,Sales
Sales Strategy,Strategy/Planning/Management
Sales Trainings,Sales
Salesforce.com,Quantitative/Analytics
Sensitive Information,Other
Collateral,Other
Event Planning,Strategy/Planning/Management
Graphic Design,Graphic Design/Visual
Research Skills,Quantitative/Analytics
Social Media Marketing,Social Media/Digital
Marketing Strategy,Strategy/Planning/Management
Negotiation,Sales
Press Releases,Communication
Adobe Creative Cloud,Graphic Design/Visual
Adobe Photoshop,Graphic Design/Visual
Attention to Detail,Other
Content/Writing Strategy,Content/Writing/Writing
Local Advertising,Other
Public Relations,Communication
Special Assignments,Other
Customer Service,Sales
Customer Support,Sales
English,Other
Leadership,Strategy/Planning/Management
Advertising,Sales
Easily Adaptable,Other
Marketing Agencies,Other
Multiple Project Coordination,Strategy/Planning/Management
Multitasking,Other
Time Management,Strategy/Planning/Management
Image Editing,Graphic Design/Visual
Photography,Graphic Design/Visual
Problem Solving,Strategy/Planning/Management
Styling,Graphic Design/Visual
Marketing Management,Strategy/Planning/Management
Consumer Relations,Sales
Customer Experience,Sales
Direct Marketing,Sales
Retail Marketing,Sales
Business-to-Business (B2B),Strategy/Planning/Management
Field Marketing,Sales
Go-to-Market Strategy,Market Research
Marketing Analytics,Quantitative/Analytics
Product Launch,Brand
Product Lines,Brand
Communication Training,Communication
Handle Multiple Projects,Other
Marketing Materials,Content/Writing
Web Content/Writing Writing,Content/Writing
Athletics,Other
Fitness,Other
Interpersonal Skills,Communication
Moodle,Other
Sports Coaching,Other
Sports Management,Strategy/Planning/Management
Teaching,Communication
Copywriting,Content/Writing
Itineraries,Other
Market Analysis,Market Research
Marketing Presentations,Sales
Proofreading,Content/Writing
Social Media Content/Writing Creation,Content/Writing
Training Videos,Graphic Design/Visual
Active Listening,Communication
Analytical Skills,Quantitative/Analytics
Automobile Liability,Other
Census,Other
Federal Regulations,Other
Home Care,Other
Licensing,Other
Competitive Analysis,Market Research
Cross-functional Team Leadership,Strategy/Planning/Management
Launches,Brand
Business Relationship Management,Strategy/Planning/Management
Market Research,Market Research
Search Engines,Other
User Interface Design,Graphic Design/Visual
Content/Writing Management,Content/Writing
Management Systems,Strategy/Planning/Management
Oral Communication,Communication
Branding,Brand
Graphic Design Software,Graphic Design/Visual
Indirect Purchasing,Sales
Primary Market,Market Research
Written Communication,Communication
Blogging,Content/Writing
Content/Writing Management Systems (CMS),Content/Writing
Event Coordination,Strategy/Planning/Management
Marketing Campaign Management,Strategy/Planning/Management
WordPress,Other
Loyalty Marketing,Strategy/Planning/Management
Loyalty Programs,Strategy/Planning/Management
Online Ordering,Other
Reputation Management,Brand
Yext,Social Media/Digital
Cyber Risk Management,Strategy/Planning/Management
Data Cleaning,Quantitative/Analytics
Data Entry,Quantitative/Analytics
Data Integrity,Quantitative/Analytics
Deduplication,Other
Maturity Assessments,Quantitative/Analytics
Online Data Entry,Quantitative/Analytics
Attendee Registration,Other
Event Management,Strategy/Planning/Management
Klaviyo,Social Media/Digital
Marketing Programs,Strategy/Planning/Management
SAP Controlling (CO),Social Media/Digital
Email Marketing,Communication
Social Media Graphic Design,Graphic Design/Visual
Social Media Optimization (SMO),Social Media/Digital
Market Planning,Market Research
Office Administration,Strategy/Planning/Management
Client Presentation,Sales
Client Rapport,Sales
Customer Satisfaction,Sales
Marketing Automation,Social Media/Digital
Stressful Situations,Other
Website Project Management,Strategy/Planning/Management
Computer Science,Technology
Data Analytics,Quantitative/Analytics
Data Science,Quantitative/Analytics
Data Visualization,Graphic Design/Visual
Google BigQuery,Technology
Key Metrics,Strategy/Planning/Management
Statistical Modeling,Quantitative/Analytics
Statistics,Quantitative/Analytics
Computer Literacy,Other
External Communications,Communication
Critical Thinking,Strategy/Planning/Management
Digital Imaging,Graphic Design/Visual
Microsoft Outlook,Communication
Microsoft Teams,Communication
Newsletters,Content/Writing
Print Production,Content/Writing
Eloqua,Social Media/Digital
Hockey,Other
Direct Sales,Sales
Retail,Sales
Team Leadership,Strategy/Planning/Management
Team Management,Strategy/Planning/Management
Canva,Graphic Design/Visual
Facebook,Social Media/Digital
Instagram,Social Media/Digital
Snapchat,Social Media/Digital
Service Work,Other
Adobe Experience Manager (AEM),Graphic Design/Visual
Content/Writing Delivery,Content/Writing
Digital Content/Writing,Content/Writing
Marketing Consulting,Strategy/Planning/Management
Web Content/Writing Production,Content/Writing
Digital Marketing Communications,Graphic Design/Visual
Digital Media,Graphic Design/Visual
Media Relations,Social Media/Digital
Video Production,Graphic Design/Visual
Business Communications,Communication
Campaign Strategies,Strategy/Planning/Management
Positioning (Marketing),Other
Tenacious Work Ethic,Other
Client Relations,Sales
Emerging Trends,Quantitative/Analytics
Google Tag Manager,Other
Photocopiers,Other
Scanning Electron Microscopy (SEM),Other
Website Administration,Social Media/Digital
Business Requirements,Other
Digital Marketing Channels,Social Media/Digital
Member Relations,Communication
Microsoft PowerPoint,Other
Product Knowledge,Brand
Promotional Marketing,Sales
Skilled Multi-tasker,Other
Account Reconciliation,Sales
Accounts Payable (AP),Other
Accounts Receivable (AR),Other
File Systems,Technology
Microsoft Publisher,Other
Payroll Administration,Other
Phone Etiquette,Communication
Vendor Contracts,Strategy/Planning/Management
Business Planning,Strategy/Planning/Management
Lead Generation,Sales
Community Engagement,Communication
Business Development,Strategy/Planning/Management
Proposal Coordination,Strategy/Planning/Management
Proposal Management,Strategy/Planning/Management
Proposal Production,Strategy/Planning/Management
Proposal Support,Strategy/Planning/Management
Writing,Content/Writing
Customer Relations,Sales
Media Marketing,Social Media/Digital
Microsoft 365,Other
Administrative Assistance,Other
Back-End Web Development,Technology
Editing,Content/Writing
HTML,Technology
Magento,Social Media/Digital
MailChimp,Social Media/Digital
Email Analytics,Quantitative/Analytics
Email Lists,Social Media/Digital
HTML Emails,Quantitative/Analytics
Shopify,Social Media/Digital
Compensation,Other
Compensation & Benefits,Other
Google Analytics,Quantitative/Analytics
Targeted Messaging,Other
Web Analytics,Quantitative/Analytics
Project Implementation,Strategy/Planning/Management
Request for Proposal (RFP),Brand
Unanet,Social Media/Digital
Office Equipment,Other
Sales Operations,Sales
Spreadsheets,Other
Coordinating Activities,Strategy/Planning/Management
Exhibitions,Strategy/Planning/Management
Key Opinion Leaders,Strategy/Planning/Management
Marketing Documents,Content/Writing
Strategic Marketing,Strategy/Planning/Management
Account Management,Sales
Sales Management,Sales
Sales Processes,Sales
Market Requirements Documents,Market Research
Product Management,Strategy/Planning/Management
Development & implementation of marketing plans,Strategy/Planning/Management
Market Intelligence,Market Research
New Hires,Other
Client Correspondence,Sales
Product Demonstration,Other
Customer Engagement,Sales
Customer Relationship Management (CRM),Sales
Customer Satisfaction (CSAT),Sales
Business Administration,Strategy/Planning/Management
Content/Writing Marketing,Content/Writing
Creative Writing,Content/Writing
Marketing Copy,Content/Writing
Narrative,Content/Writing
Customer Communication,Communication
Free Thinking,Other
Project Management,Strategy/Planning/Management
Subject Matter Experts,Other
Analytics,Quantitative/Analytics
Business Strategy,Strategy/Planning/Management
Sales Execution,Sales
Advertising Project Management,Strategy/Planning/Management
Content/Writing Creation,Content/Writing
Messaging,Other
Paid Social Media,Social Media/Digital
Performance Measurement,Quantitative/Analytics
Social Media Advertising,Social Media/Digital
Adobe Creative Suite,Graphic Design/Visual
Adobe Illustrator,Graphic Design/Visual
Adobe InDesign,Graphic Design/Visual
Brand Design,Brand
Fine Art,Graphic Design/Visual
Graphics,Graphic Design/Visual
Internal Marketing,Strategy/Planning/Management
Commercial Awareness,Brand
Marketing Metrics,Quantitative/Analytics
Networking Events,Communication
Pay Per Click (PPC),Other
Product Branding,Brand
Data-driven Marketing,Quantitative/Analytics
Media Management,Social Media/Digital
Social Media Management,Social Media/Digital
Business Insights,Quantitative/Analytics
Customer Data,Quantitative/Analytics
Customer Insight,Quantitative/Analytics
Data Mining,Quantitative/Analytics
Pattern Recognition,Quantitative/Analytics
Customer Acquisition,Sales
Face-to-face Marketing,Sales
Hospitality Industry,Other
Training,Other
Occupancy,Other
Admissions,Other
Community Leadership,Strategy/Planning/Management
Discharge Planning,Strategy/Planning/Management
Insurance Policies,Other
Insurance Verification,Other
Pre-certification,Other
Project Planning,Strategy/Planning/Management
Sales Meetings,Sales
Sales Metrics,Sales
Direct Response Marketing,Sales
Promotional Videos,Graphic Design/Visual
Content/Writing Development,Content/Writing
Marketing Operations,Strategy/Planning/Management
Online Reputation Management,Strategy/Planning/Management
Operations Processes,Other
Award Applications,Other
Email Distribution,Communication
Media Distribution,Social Media/Digital
Sales Presentations,Sales
Creativity and Innovation,Other
Mathematics,Quantitative/Analytics
Open Platform Communication (OPC),Communication
Tour Production,Other
Management,Strategy/Planning/Management
Product Development,Strategy/Planning/Management
Social Media Communications,Social Media/Digital
Digital Marketing Content/Writing,Content/Writing
Microsoft Excel,Other
Microsoft Office,Other
Reporting,Other
CAN-SPAM,Other
E-Commerce,Social Media/Digital
Test Automation Tools,Technology
Ad Hoc Reporting,Quantitative/Analytics
Story,Social Media/Digital
YouTube,Social Media/Digital
Expense Reports,Quantitative/Analytics
Expenses,Strategy/Planning/Management
Lead Qualification,Strategy/Planning/Management
Project Initiation,Strategy/Planning/Management
Graphic Arts,Graphic Design/Visual
Social Services,Sales
Strategic Thinking,Strategy/Planning/Management
Grammar,Content/Writing
Keyword Research,Market Research
Punctuation,Other
Taglines,Other
Client Services,Sales
Face-to-Face Sales,Sales
Knowledge Acquisition,Other
Microsoft Dynamics,Other
Relationship Development,Sales
Internal Communications,Communication
Journalism,Content/Writing
Marketing Event Planning,Strategy/Planning/Management
Qualifying Candidates,Other
Alumni Relations,Communication
Benchmarking,Strategy/Planning/Management
Health Assessment,Other
Media Planning,Social Media/Digital
Paid Advertising,Other
Student Recruiting,Other
Audience Measurement,Other
Electronic Resources,Other
Library Reference,Other
Library Science,Other
Library Services,Other
Metadata,Quantitative/Analytics
Public Libraries,Communication
Community Relations,Communication
Market Assessments,Market Research
SNF,Other
Digital Literacy,Social Media/Digital
Etiquette,Communication
Solid Professional Standards,Communication
Calendars,Other
Digital Communication,Communication
Marketing Leadership,Strategy/Planning/Management
Web Conferencing,Technology
Customer Retention,Sales
New Leads,Other
Timeshare,Other
Brand Management,Brand
Creativity Skills,Communication
Decisiveness,Other
Delegation,Other
Financing,Other
Project Teams,Communication
Hootsuite,Social Media/Digital
Media Engagement,Social Media/Digital
Video Editing,Graphic Design/Visual
Adobe Acrobat,Graphic Design/Visual
OE,Other
OneNote,Other
Open Enrollment,Other
Timelines,Other
Headshot Photography,Graphic Design/Visual
Podcasting,Content/Writing
Cold Calling,Sales
Contact Centers,Communication
Quotations,Other
Resolving Issues,Other
Summits,Other
Quality Assurance,Quantitative/Analytics
Deadline Oriented,Other
Property and Casualty Insurance,Other
Travel,Other
Executing Events,Strategy/Planning/Management
Performance Metrics,Strategy/Planning/Management
Cross-Selling,Sales
Decision-Making,Strategy/Planning/Management
Placing Orders,Other
Upselling,Sales
Brand Strategy,Brand
End User Research,Other
Extreme Programming,Technology
Pair Programming,Technology
Product Strategy,Strategy/Planning/Management
Software Deployment,Technology
Test-Driven Development,Technology
User Stories,Social Media/Digital
Windows XP,Technology
Workload Prioritization,Other
Market Segmentation,Market Research
Press Coverage,Other
User Experience (UX),Graphic Design/Visual
External Relations,Communication
General Administration,Technology
International Relations,Communication
Pinterest,Social Media/Digital
Social Listening,Communication
Public Law,Other
Support Services,Other
Adjudication,Other
Environmental Impact Assessment,Other
Fair Housing,Other
Fingerprinting,Other
Loan Closing,Sales
OPM,Other
Questionnaires,Other
Site Inspections,Other
Fundraising,Other
Grant Proposals,Strategy/Planning/Management
Partnerships,Strategy/Planning/Management
Personnel Management,Strategy/Planning/Management
Transcripts,Content/Writing
Tribal Government,Other
Capacity Development,Strategy/Planning/Management
Consultation,Strategy/Planning/Management
Project Coordination,Strategy/Planning/Management
Project Plans,Strategy/Planning/Management
Resource Allocation,Strategy/Planning/Management
Accounts Payable & Receivable,Strategy/Planning/Management
Automobiles,Other
Automotive,Other
Finance,Quantitative/Analytics
Payroll Processing,Other
Target Costing,Other
Xero,Social Media/Digital
Confidentiality,Other
Databases,Quantitative/Analytics
Google Sheets,Quantitative/Analytics
Data Privacy,Technology
Database Systems,Technology
Virtual Assistance,Technology
